1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
37,-16,-64,-21,-28,50,-179,-33,-53,41,33,-14,5,-38,25,-8
37,-15,-71,-25,-31,48,-191,-24,-57,57,30,-25,10,-41,20,-11
31,-26,-75,-26,-28,39,-199,-14,-57,72,27,-39,8,-50,20,-13
25,-26,-75,-26,-34,32,-207,-14,-55,83,21,-43,10,-64,19,-19
19,-34,-59,-38,-40,33,-218,-29,-61,92,11,-51,10,-73,23,-24
21,-35,-46,-38,-50,37,-226,-38,-64,96,5,-55,2,-85,29,-32
22,-36,-25,-41,-56,42,-226,-50,-73,95,-10,-62,-1,-87,35,-35
18,-39,-1,-52,-58,52,-216,-62,-76,89,-12,-63,-9,-81,30,-39
16,-49,18,-56,-53,58,-197,-60,-72,82,-9,-60,-15,-75,24,-39
14,-51,32,-63,-54,61,-176,-53,-63,68,-7,-55,-20,-72,20,-39
18,-59,44,-66,-50,55,-163,-49,-56,57,3,-53,-29,-73,22,-40
18,-59,51,-69,-48,52,-162,-41,-42,46,9,-42,-43,-75,29,-40
25,-59,60,-61,-49,53,-160,-34,-33,42,13,-33,-46,-74,37,-49
24,-58,68,-54,-43,55,-163,-21,-31,38,10,-26,-61,-65,41,-47
23,-52,73,-47,-32,55,-157,-7,-25,37,0,-21,-63,-43,34,-41
7,-46,81,-41,-29,45,-155,3,-23,34,-6,-19,-63,-17,25,-32
-8,-35,84,-37,-14,36,-154,10,-23,27,-23,-18,-69,10,15,-26
-32,-31,88,-34,-1,30,-147,18,-20,17,-35,-18,-68,23,14,-18
-53,-32,91,-34,11,32,-129,22,-12,7,-39,-24,-68,24,18,-16
-66,-37,96,-35,16,36,-94,26,-9,5,-33,-25,-65,16,25,-21
-75,-44,100,-35,18,39,-55,28,-4,2,-19,-31,-62,1,27,-28
-84,-60,101,-42,20,38,-13,28,2,11,-2,-31,-55,-16,25,-37
-82,-66,98,-53,22,27,24,32,6,18,18,-37,-51,-28,23,-27
-75,-75,89,-59,20,12,50,29,9,28,36,-36,-35,-40,17,-18
-60,-81,79,-63,25,-3,76,32,7,36,48,-32,-40,-44,13,-9
-35,-85,66,-58,30,-6,95,23,0,39,50,-34,-39,-49,5,2
-18,-84,50,-47,36,-10,110,18,-9,37,51,-30,-41,-51,-1,3
3,-82,31,-41,42,-9,113,8,-21,32,45,-30,-28,-57,-1,12
14,-84,13,-42,42,-8,113,-9,-35,29,36,-36,-18,-56,-7,18
19,-89,-4,-46,44,-14,107,-23,-40,23,28,-38,-8,-47,-6,24
23,-88,-15,-45,48,-24,100,-39,-35,12,21,-46,-1,-34,0,33
25,-92,-27,-37,55,-31,96,-57,-30,0,14,-46,8,-27,12,47
17,-103,-32,-34,59,-41,94,-80,-23,-11,7,-52,12,-22,22,60
16,-119,-43,-19,63,-43,91,-95,-12,-14,5,-53,16,-14,24,67
15,-143,-48,-14,64,-41,82,-104,4,-19,4,-54,18,-8,13,76
19,-163,-52,-23,61,-40,72,-104,17,-17,-2,-52,21,0,5,88
22,-174,-54,-29,57,-39,61,-94,23,-29,-7,-54,21,4,-2,105
16,-180,-59,-34,52,-52,51,-76,19,-41,-12,-53,16,4,0,122
7,-174,-63,-40,51,-61,41,-57,18,-43,-21,-57,5,6,1,132
2,-166,-64,-24,59,-63,29,-29,13,-54,-14,-79,-6,5,0,126
0,-156,-66,-20,72,-73,27,-5,10,-51,-8,-97,-12,9,-10,113
-5,-138,-68,-11,86,-80,30,25,9,-52,-9,-114,-15,13,-20,99
-19,-116,-62,-7,94,-87,35,48,4,-48,-14,-122,-9,17,-29,87
-32,-93,-57,0,92,-88,42,68,3,-44,-24,-124,-4,28,-29,72
-45,-70,-56,9,83,-86,47,86,7,-43,-27,-114,2,32,-21,58
-55,-50,-52,18,76,-81,43,98,14,-50,-24,-95,6,39,-7,48
-70,-37,-49,35,68,-72,40,102,18,-49,-26,-79,0,43,-1,44
-83,-14,-41,48,65,-71,33,105,12,-46,-25,-70,-5,43,6,43
-92,-2,-48,59,58,-65,28,104,-1,-48,-33,-66,-9,35,-2,45
-94,5,-35,58,55,-62,31,102,-17,-51,-48,-75,-11,30,-8,43
-100,11,-30,54,52,-56,40,93,-33,-55,-65,-85,-10,28,-24,38
-97,10,-25,45,51,-48,55,86,-33,-54,-82,-90,-14,30,-36,35
-100,8,-21,41,44,-21,64,78,-29,-50,-95,-93,-17,28,-41,25
-102,14,-26,44,35,1,72,67,-18,-40,-102,-87,-20,26,-36,7
-103,18,-19,55,28,14,73,59,-12,-43,-106,-77,-21,16,-28,-6
-103,26,-11,62,29,25,71,48,-9,-49,-105,-67,-24,1,-16,-22
-98,36,-10,58,27,31,66,41,-1,-46,-105,-63,-15,-6,-11,-30
-81,44,-13,53,21,38,62,31,9,-56,-97,-61,-11,-19,-8,-39
-70,59,-16,41,9,44,56,23,11,-55,-85,-58,-2,-26,-1,-46
-56,70,-16,34,2,43,53,13,14,-53,-76,-58,1,-35,10,-41
-50,78,-16,25,-10,40,43,6,8,-52,-66,-58,0,-38,15,-40
-38,76,-14,17,-18,25,31,12,-5,-43,-61,-64,-1,-45,15,-36
-35,70,-9,11,-19,11,14,16,-18,-32,-56,-74,-6,-38,6,-33
-29,64,-1,3,-23,-1,0,22,-30,-30,-54,-87,-6,-35,-1,-31
-13,59,9,1,-22,-15,-18,27,-43,-16,-38,-106,-14,-34,-6,-37
2,56,11,5,-7,-42,-20,31,-48,-10,-31,-121,-25,-32,-1,-42
11,55,10,2,3,-57,-23,36,-53,-2,-24,-122,-35,-22,4,-51
12,46,10,-1,3,-73,-26,32,-58,6,-16,-116,-43,-17,14,-46
8,32,3,-13,-1,-79,-23,30,-52,11,-11,-99,-55,-9,21,-29
-2,12,-7,-17,-16,-81,-22,29,-48,9,-15,-75,-70,-5,26,-5
-7,-11,-21,-25,-29,-72,-26,32,-46,3,-28,-53,-81,5,24,18
-15,-33,-32,-24,-46,-57,-36,38,-45,-5,-45,-26,-91,10,20,30
-13,-45,-51,-23,-52,-50,-46,43,-46,-13,-61,-13,-96,14,12,34
-11,-47,-71,-29,-66,-34,-65,45,-42,-10,-69,-3,-95,21,11,34
-8,-44,-86,-40,-66,-30,-77,48,-41,-2,-69,-3,-99,29,7,32
-4,-37,-90,-53,-71,-20,-91,53,-32,10,-55,-2,-101,38,7,35
-4,-27,-88,-61,-72,-8,-102,54,-24,17,-43,-4,-109,41,2,33
2,-17,-80,-77,-78,1,-111,51,-29,21,-22,0,-116,46,-9,31
12,-6,-73,-87,-81,0,-117,39,-33,20,-13,8,-124,50,-30,27
22,-2,-74,-95,-87,-10,-129,27,-32,15,-4,23,-124,50,-46,27
34,11,-78,-106,-92,-14,-145,14,-30,5,7,30,-115,48,-66,28
41,16,-72,-115,-92,-19,-159,5,-17,-6,14,38,-103,47,-73,27
45,23,-63,-123,-90,-13,-167,5,-4,-21,19,37,-96,46,-78,18
42,26,-52,-133,-83,-14,-156,2,14,-26,16,34,-85,41,-82,9
34,25,-35,-139,-78,-12,-137,0,21,-24,13,28,-71,39,-95,-3
23,15,-39,-141,-68,-17,-111,-1,16,-24,11,23,-59,35,-104,-30
11,10,-39,-129,-56,-23,-88,-2,13,-24,13,21,-43,30,-111,-49
5,1,-39,-117,-51,-26,-69,-9,15,-17,15,13,-29,36,-115,-65
6,-7,-33,-98,-52,-23,-44,-14,9,-18,15,7,-21,35,-114,-76
12,-14,-23,-77,-58,-17,-27,-26,-4,-20,18,-4,-16,38,-103,-85
18,-14,-15,-53,-63,-12,-19,-32,-19,-20,7,-17,-14,34,-85,-95
16,-29,-2,-28,-63,-7,-6,-47,-14,-21,5,-27,-25,28,-55,-108
22,-39,-1,-11,-61,-6,3,-49,-24,-26,4,-38,-24,21,-25,-122
32,-55,0,-1,-55,-5,8,-58,-18,-39,4,-42,-32,12,-2,-141
40,-71,-8,4,-43,-1,15,-57,-12,-51,3,-48,-24,2,15,-157
55,-88,-12,7,-36,-5,27,-56,-15,-57,-1,-51,-22,-7,23,-174
61,-109,-23,9,-28,-9,45,-45,-9,-64,-4,-52,-18,-13,18,-177
70,-131,-24,7,-22,-9,62,-38,-5,-60,-8,-55,-11,-25,6,-169
73,-162,-31,4,-14,-6,69,-29,1,-53,-16,-58,-7,-37,-5,-158
74,-193,-32,15,-7,-9,68,-27,1,-51,-19,-60,1,-51,-24,-144
75,-214,-34,25,-7,-12,61,-30,7,-57,-21,-56,5,-70,-28,-133
72,-215,-33,38,-15,-22,50,-39,6,-62,-18,-47,11,-79,-35,-118
70,-198,-32,39,-14,-28,44,-42,1,-67,-11,-35,13,-89,-28,-104
64,-167,-33,47,-12,-51,39,-38,1,-63,-1,-25,14,-96,-25,-92
56,-133,-35,48,-15,-61,35,-34,1,-63,3,-8,12,-100,-11,-76
51,-98,-21,53,-14,-66,34,-26,-1,-64,5,10,7,-97,-7,-67
44,-70,-14,47,-9,-76,33,-17,2,-75,-1,31,1,-94,3,-53
35,-51,-7,35,-5,-87,34,-13,-2,-87,-1,56,-5,-94,6,-37
25,-31,-11,21,-3,-106,31,-11,2,-97,-2,76,-10,-99,5,-20
17,-19,-16,4,-4,-131,29,-5,4,-107,8,87,-24,-104,1,-6
11,-19,-27,-4,-7,-155,27,4,1,-110,17,94,-32,-115,4,4
8,-16,-27,-15,-15,-171,25,12,0,-117,24,94,-47,-128,12,15
6,-23,-38,-21,-27,-178,23,14,-6,-120,26,89,-50,-135,19,28
7,-29,-39,-26,-38,-177,19,16,-10,-118,24,79,-69,-139,28,42
7,-30,-39,-25,-36,-165,14,14,-12,-110,12,68,-84,-142,34,58
7,-36,-37,-29,-33,-149,15,18,-16,-95,-1,58,-98,-137,35,71
8,-40,-41,-33,-35,-133,19,20,-34,-93,-15,46,-110,-132,32,78
9,-47,-54,-35,-36,-110,18,20,-39,-91,-17,37,-120,-123,29,81
20,-49,-63,-53,-45,-91,16,20,-43,-93,-20,30,-132,-113,25,83
22,-52,-70,-63,-55,-73,14,23,-38,-91,-16,27,-141,-107,18,84
26,-46,-77,-78,-66,-68,14,23,-29,-95,-14,22,-147,-102,12,86
29,-45,-83,-89,-71,-72,14,19,-24,-95,-11,15,-148,-99,-1,93
19,-39,-90,-94,-76,-66,19,10,-28,-86,-11,0,-144,-90,-17,97
22,-31,-87,-95,-78,-60,24,2,-24,-75,-11,-12,-133,-77,-28,97
19,-18,-90,-86,-68,-48,27,-1,-17,-59,-18,-18,-118,-66,-35,97
18,-9,-87,-74,-69,-35,21,-6,-10,-52,-27,-27,-91,-61,-45,100
12,-5,-83,-59,-67,-17,16,-15,-6,-41,-34,-36,-67,-63,-54,101
1,-8,-80,-46,-66,-6,15,-20,-1,-37,-36,-36,-60,-63,-60,100
-9,-11,-80,-30,-57,4,14,-31,3,-30,-36,-36,-56,-68,-55,91
-21,-14,-74,-33,-43,11,21,-41,7,-18,-31,-45,-64,-70,-56,75
-30,-9,-66,-32,-36,11,31,-51,9,-11,-25,-48,-75,-77,-57,54
-42,-6,-56,-31,-34,6,37,-60,17,-15,-22,-57,-90,-90,-66,33
-44,-7,-43,-32,-28,1,37,-60,20,-21,-31,-67,-103,-98,-71,11
-49,-9,-37,-20,-28,-2,34,-67,17,-30,-35,-80,-119,-106,-64,-12
-46,-20,-28,-5,-29,-5,30,-65,9,-31,-47,-91,-121,-108,-48,-22
-42,-30,-23,5,-35,-2,28,-70,2,-41,-56,-100,-113,-111,-24,-25
-30,-40,-13,10,-39,0,37,-80,-16,-51,-64,-100,-97,-113,-6,-21
-22,-29,-5,11,-53,12,47,-88,-31,-52,-66,-94,-70,-109,4,-22
-6,-22,3,8,-58,30,54,-89,-39,-57,-64,-87,-50,-97,9,-29
6,-8,8,4,-73,45,56,-87,-37,-54,-58,-81,-31,-78,10,-37
10,1,9,-1,-79,45,60,-79,-38,-40,-49,-76,-17,-58,7,-40
